ffact,pfact,pcost,benders_ub,benders_comp_time,benders_num_nodes,sddp_lb,sddp_ub,sddp_comp_time,sddp_lb_change_rate,sddp_num_paths
5,200,5.0,1562577.048,3881.434,3595.0,1906430.823,1917373.612,14857.627,0.001,2898
1,200,5.0,984639.883,4197.483,3920.0,1268285.476,1281085.299,18089.157,0.001,3232
10,200,5.0,2257000.309,4410.472,3588.0,2686744.847,2704176.412,14863.412,0.001,2850
20,200,5.0,3580160.747,3857.028,3072.0,4202521.297,4230179.869,13086.338,0.001,2631
50,200,5.0,7205781.591,4793.103,3598.0,8465182.76,8532378.028,9385.49,0.001,2177
5,10,5.0,720231.414,41.059,127.0,1002735.638,1006498.795,21607.329,1.0,4557
5,50,5.0,1516675.47,4690.882,3854.0,1877342.723,1865338.878,21602.836,0.002,3471
5,100,5.0,1545257.343,3915.601,3515.0,1896249.205,1908777.344,19216.164,0.001,3288
5,300,5.0,1571790.861,4400.353,3694.0,1910236.503,1915710.117,13412.186,0.001,2769
5,500,5.0,1577872.599,4161.251,3704.0,1917261.542,1923025.26,14553.34,0.001,2860
5,200,1.0,943408.796,3466.65,3252.0,1074032.963,1079958.015,13678.545,0.001,2745
5,200,10.0,2304252.77,4473.957,3823.0,2919155.858,2952667.988,10233.641,0.001,2377
5,200,50.0,7858085.85,2293.52,3005.0,10735749.451,10598401.574,2559.842,0.001,1128
5,200,100.0,12524534.5,716.94,1938.0,17284887.841,17194110.999,21603.986,1.0,4397
