ffact,pfact,pcost,benders_ub,benders_comp_time,benders_num_nodes,benders_mip_gap
5,200,5.0,30561585.411,10605.561,7457.0,0.0
1,200,5.0,23136151.187,6316.665,3773.0,0.0
10,200,5.0,39479087.062,17364.72,9192.0,0.0
20,200,5.0,56878258.291,11161.224,7167.0,0.0
50,200,5.0,103162097.818,5340.936,4456.0,0.0
5,50,5.0,29422714.532,9847.964,7783.0,0.0
5,100,5.0,30273645.361,14539.145,8856.0,0.0
5,300,5.0,30738262.4,8997.859,6662.0,0.0
5,500,5.0,30866845.965,7957.735,6524.0,0.0
5,200,1.0,19556947.896,12547.268,8380.0,0.0
5,200,10.0,44138785.501,10422.931,7588.0,0.0
5,200,50.0,143012159.145,4286.628,3046.0,0.0
5,200,100.0,175171270.634,726.928,2244.0,0.0
